field,value,count,share
semantic_presence,array_operator,1172,0.968595
semantic_presence,dynamic_key_operator,1104,0.912397
semantic_presence,expr_match,208,0.171901
semantic_presence,grouping_operator,634,0.523967
semantic_presence,has_conditional,536,0.442975
semantic_presence,has_filter_or_map,338,0.279339
semantic_presence,has_group,601,0.496694
semantic_presence,has_limit,1189,0.982645
semantic_presence,has_match,1035,0.855372
semantic_presence,has_project,1210,1.0
semantic_presence,has_sort,1207,0.997521
semantic_presence,has_unwind,888,0.733884
semantic_presence,nested_dotted_path,1162,0.960331
structural_bucket,unwind_grouped,397,0.328099
structural_bucket,unwind_filter_project,298,0.246281
structural_bucket,linear_filter_project,248,0.204959
structural_bucket,multi_unwind_grouped,193,0.159504
structural_bucket,enrich_filter_project,63,0.052066
structural_bucket,group_without_unwind,11,0.009091
