operator,occurrence_count,occurrence_share,record_presence_count,record_presence_share
$abs,10,0.000563,5,0.004132
$add,9,0.000507,8,0.006612
$addFields,1223,0.068882,974,0.804959
$addToSet,155,0.00873,155,0.128099
$and,71,0.003999,64,0.052893
$anyElementTrue,32,0.001802,32,0.026446
$arrayElemAt,60,0.003379,45,0.03719
$arrayToObject,7,0.000394,6,0.004959
$avg,67,0.003774,39,0.032231
$concat,5,0.000282,5,0.004132
$concatArrays,5,0.000282,4,0.003306
$cond,634,0.035708,489,0.404132
$divide,42,0.002366,32,0.026446
$eq,402,0.022642,167,0.138017
$exists,6,0.000338,6,0.004959
$expr,213,0.011997,208,0.171901
$filter,246,0.013855,230,0.190083
$first,44,0.002478,14,0.01157
$group,602,0.033906,601,0.496694
$gt,236,0.013292,220,0.181818
$gte,1057,0.059533,795,0.657025
$ifNull,1856,0.104534,1144,0.945455
$in,169,0.009518,168,0.138843
$isArray,49,0.00276,49,0.040496
$isNumber,1,5.6e-05,1,0.000826
$let,5,0.000282,5,0.004132
$limit,1189,0.066967,1189,0.982645
$literal,4,0.000225,4,0.003306
$lt,10,0.000563,10,0.008264
$lte,5,0.000282,5,0.004132
$map,252,0.014193,224,0.185124
$match,1172,0.06601,1035,0.855372
$max,14,0.000789,14,0.01157
$mergeObjects,4,0.000225,4,0.003306
$min,3,0.000169,3,0.002479
$ne,187,0.010532,164,0.135537
$objectToArray,1264,0.071191,1104,0.912397
$or,7,0.000394,7,0.005785
$project,2146,0.120867,1210,1.0
$push,18,0.001014,18,0.014876
$reduce,8,0.000451,6,0.004959
$regexMatch,1,5.6e-05,1,0.000826
$replaceAll,7,0.000394,3,0.002479
$replaceOne,5,0.000282,5,0.004132
$replaceRoot,5,0.000282,5,0.004132
$round,31,0.001746,21,0.017355
$set,3,0.000169,3,0.002479
$setIsSubset,5,0.000282,5,0.004132
$setUnion,6,0.000338,6,0.004959
$size,671,0.037792,508,0.419835
$slice,31,0.001746,31,0.02562
$sort,1210,0.06815,1207,0.997521
$sortArray,16,0.000901,16,0.013223
$split,6,0.000338,6,0.004959
$substr,9,0.000507,9,0.007438
$subtract,21,0.001183,16,0.013223
$sum,948,0.053393,612,0.505785
$switch,77,0.004337,63,0.052066
$toInt,6,0.000338,6,0.004959
$toString,32,0.001802,32,0.026446
$type,6,0.000338,6,0.004959
$unset,1,5.6e-05,1,0.000826
$unwind,1169,0.065841,888,0.733884
