db_id,records,distinct_mql,distinct_nl_texts,queried_collection_count,schema_collection_count,document_count,source_table_count,global_skeleton_signatures_in_db,max_db_scoped_skeleton_family,stage_sequence_families,max_stage_sequence_family,stage_median,stage_p90,unique_operator_median,operator_occurrence_median,mql_chars_median,canonical_nl_words_median,dynamic_key_operator_records,array_operator_records,grouping_operator_records,nested_dotted_path_records,expr_match_records,max_depth,dynamic_key_path_count,nested_array_path_count
california_schools,110,110,220,3,3,19172,3,94,5,36,24,8,9,12,13,666.5,56,110,110,59,103,17,7,9,123
card_games,110,110,220,2,2,57373,6,103,4,39,21,7,8.1,12,14,607.5,58,106,105,64,110,10,,0,0
codebase_community,110,110,220,3,3,84269,8,101,3,45,15,8,10,11,14,620,55.5,110,110,65,110,17,9,11,14
debit_card_specializing,110,110,220,3,3,38768,5,101,4,41,13,7,9,11,13,707.5,53,103,110,68,107,11,9,17,18
european_football_2,110,110,220,4,4,37426,7,100,6,43,10,7,9,12.5,14,664.5,65,88,110,53,106,32,,0,0
financial,110,110,220,4,4,9092,8,106,3,44,16,7,9,12,14.5,706,58,110,110,64,109,11,11,15,24
formula_1,110,110,220,2,2,2074,13,97,6,50,12,6,8.1,10,13,607.5,50,71,84,52,89,13,9,11,8
student_club,110,110,220,2,2,75,8,100,4,40,14,7,9,11,14,672,60.5,107,110,50,109,24,8,8,9
superhero,110,110,220,3,4,952,10,96,7,65,7,7,10,11,14,647,56,107,107,58,105,13,9,13,17
thrombosis_prediction,110,110,220,3,3,1366,3,102,3,40,19,7,9,12,15,652,55.5,86,110,48,104,33,9,8,14
toxicology,110,110,220,1,2,18610,0,104,4,45,11,7,9,12,14,625.5,58,106,106,53,110,27,,0,0
