db_id,stage_count,records,share_within_db
california_schools,6,31,0.281818
california_schools,7,35,0.318182
california_schools,8,34,0.309091
california_schools,9,10,0.090909
card_games,6,31,0.281818
card_games,7,37,0.336364
card_games,8,42,0.381818
codebase_community,6,33,0.3
codebase_community,7,36,0.327273
codebase_community,8,28,0.254545
codebase_community,9,7,0.063636
codebase_community,12,6,0.054545
debit_card_specializing,6,33,0.3
debit_card_specializing,7,47,0.427273
debit_card_specializing,8,23,0.209091
debit_card_specializing,9,7,0.063636
european_football_2,6,49,0.445455
european_football_2,7,33,0.3
european_football_2,8,22,0.2
european_football_2,9,6,0.054545
financial,6,40,0.363636
financial,7,36,0.327273
financial,8,34,0.309091
formula_1,3,1,0.009091
formula_1,4,5,0.045455
formula_1,5,27,0.245455
formula_1,6,41,0.372727
formula_1,7,23,0.209091
formula_1,8,13,0.118182
student_club,4,1,0.009091
student_club,5,2,0.018182
student_club,6,32,0.290909
student_club,7,49,0.445455
student_club,8,21,0.190909
student_club,9,5,0.045455
superhero,6,20,0.181818
superhero,7,45,0.409091
superhero,8,23,0.209091
superhero,9,22,0.2
thrombosis_prediction,6,59,0.536364
thrombosis_prediction,7,23,0.209091
thrombosis_prediction,8,28,0.254545
toxicology,6,21,0.190909
toxicology,7,44,0.4
toxicology,8,23,0.209091
toxicology,9,22,0.2
