stage,first_count,first_share,second_count,second_share,penultimate_count,penultimate_share,last_count,last_share
$addFields,824,0.680992,200,0.165289,3,0.002479,0,0.0
$group,2,0.001653,2,0.001653,2,0.001653,0,0.0
$limit,0,0.0,1,0.000826,322,0.266116,859,0.709917
$match,25,0.020661,134,0.110744,1,0.000826,0,0.0
$project,237,0.195868,596,0.492562,50,0.041322,331,0.273554
$replaceRoot,0,0.0,0,0.0,0,0.0,3,0.002479
$set,1,0.000826,0,0.0,0,0.0,0,0.0
$sort,1,0.000826,7,0.005785,831,0.686777,17,0.01405
$unset,0,0.0,0,0.0,1,0.000826,0,0.0
$unwind,120,0.099174,270,0.22314,0,0.0,0,0.0
