stage,position_bucket,count,share_of_stage_occurrences
$addFields,early,261,0.21341
$addFields,first,824,0.673753
$addFields,late,8,0.006541
$addFields,middle,130,0.106296
$group,early,12,0.019934
$group,first,2,0.003322
$group,late,19,0.031561
$group,middle,569,0.945183
$limit,early,1,0.000841
$limit,last,859,0.722456
$limit,late,326,0.27418
$limit,middle,3,0.002523
$match,early,228,0.194539
$match,first,25,0.021331
$match,late,60,0.051195
$match,middle,859,0.732935
$project,early,674,0.314073
$project,first,237,0.110438
$project,last,331,0.15424
$project,late,584,0.272134
$project,middle,320,0.149115
$replaceRoot,last,3,0.6
$replaceRoot,late,1,0.2
$replaceRoot,middle,1,0.2
$set,first,1,0.333333
$set,late,1,0.333333
$set,middle,1,0.333333
$sort,early,7,0.005785
$sort,first,1,0.000826
$sort,last,17,0.01405
$sort,late,1101,0.909917
$sort,middle,84,0.069421
$unset,late,1,1.0
$unwind,early,920,0.786997
$unwind,first,120,0.102652
$unwind,late,2,0.001711
$unwind,middle,127,0.10864
