db_id,stage,role,occurrence_count,record_presence_count,record_presence_share,mean_occurrences_per_record
california_schools,$addFields,enrichment,98,79,0.718182,0.890909
california_schools,$group,aggregation,58,58,0.527273,0.527273
california_schools,$limit,result_bound,110,110,1.0,1.0
california_schools,$match,filter,117,101,0.918182,1.063636
california_schools,$project,projection,196,110,1.0,1.781818
california_schools,$replaceRoot,other,0,0,0.0,0.0
california_schools,$set,other,1,1,0.009091,0.009091
california_schools,$sort,ordering,110,110,1.0,1.0
california_schools,$unset,other,0,0,0.0,0.0
california_schools,$unwind,array_traversal,113,84,0.763636,1.027273
card_games,$addFields,enrichment,125,91,0.827273,1.136364
card_games,$group,aggregation,62,62,0.563636,0.563636
card_games,$limit,result_bound,109,109,0.990909,0.990909
card_games,$match,filter,108,100,0.909091,0.981818
card_games,$project,projection,190,110,1.0,1.727273
card_games,$replaceRoot,other,1,1,0.009091,0.009091
card_games,$set,other,0,0,0.0,0.0
card_games,$sort,ordering,110,110,1.0,1.0
card_games,$unset,other,0,0,0.0,0.0
card_games,$unwind,array_traversal,91,76,0.690909,0.827273
codebase_community,$addFields,enrichment,118,92,0.836364,1.072727
codebase_community,$group,aggregation,62,62,0.563636,0.563636
codebase_community,$limit,result_bound,107,107,0.972727,0.972727
codebase_community,$match,filter,114,97,0.881818,1.036364
codebase_community,$project,projection,211,110,1.0,1.918182
codebase_community,$replaceRoot,other,1,1,0.009091,0.009091
codebase_community,$set,other,0,0,0.0,0.0
codebase_community,$sort,ordering,111,110,1.0,1.009091
codebase_community,$unset,other,0,0,0.0,0.0
codebase_community,$unwind,array_traversal,122,88,0.8,1.109091
debit_card_specializing,$addFields,enrichment,104,85,0.772727,0.945455
debit_card_specializing,$group,aggregation,65,65,0.590909,0.590909
debit_card_specializing,$limit,result_bound,109,109,0.990909,0.990909
debit_card_specializing,$match,filter,102,91,0.827273,0.927273
debit_card_specializing,$project,projection,207,110,1.0,1.881818
debit_card_specializing,$replaceRoot,other,1,1,0.009091,0.009091
debit_card_specializing,$set,other,0,0,0.0,0.0
debit_card_specializing,$sort,ordering,109,109,0.990909,0.990909
debit_card_specializing,$unset,other,0,0,0.0,0.0
debit_card_specializing,$unwind,array_traversal,106,88,0.8,0.963636
european_football_2,$addFields,enrichment,126,89,0.809091,1.145455
european_football_2,$group,aggregation,52,52,0.472727,0.472727
