stage,position_1_based,count,share_of_stage_occurrences,share_of_all_records
$addFields,1,824,0.673753,0.680992
$addFields,2,200,0.163532,0.165289
$addFields,3,64,0.05233,0.052893
$addFields,4,74,0.060507,0.061157
$addFields,5,40,0.032706,0.033058
$addFields,6,7,0.005724,0.005785
$addFields,7,3,0.002453,0.002479
$addFields,8,11,0.008994,0.009091
$group,1,2,0.003322,0.001653
$group,2,2,0.003322,0.001653
$group,3,38,0.063123,0.031405
$group,4,150,0.249169,0.123967
$group,5,292,0.48505,0.241322
$group,6,98,0.162791,0.080992
$group,7,15,0.024917,0.012397
$group,8,3,0.004983,0.002479
$group,9,2,0.003322,0.001653
$limit,2,1,0.000841,0.000826
$limit,3,7,0.005887,0.005785
$limit,4,44,0.037006,0.036364
$limit,5,149,0.125315,0.12314
$limit,6,237,0.199327,0.195868
$limit,7,335,0.281749,0.27686
$limit,8,261,0.219512,0.215702
$limit,9,129,0.108495,0.106612
$limit,10,13,0.010934,0.010744
$limit,11,7,0.005887,0.005785
$limit,12,6,0.005046,0.004959
$match,1,25,0.021331,0.020661
$match,2,134,0.114334,0.110744
$match,3,287,0.244881,0.23719
$match,4,439,0.374573,0.36281
$match,5,146,0.124573,0.120661
$match,6,86,0.073379,0.071074
$match,7,44,0.037543,0.036364
$match,8,4,0.003413,0.003306
$match,9,7,0.005973,0.005785
$project,1,237,0.110438,0.195868
$project,2,596,0.277726,0.492562
$project,3,164,0.076421,0.135537
$project,4,211,0.098322,0.17438
$project,5,294,0.136999,0.242975
$project,6,260,0.121156,0.214876
$project,7,164,0.076421,0.135537
$project,8,116,0.054054,0.095868
$project,9,51,0.023765,0.042149
$project,10,47,0.021901,0.038843
$project,11,3,0.001398,0.002479
$project,12,3,0.001398,0.002479
$replaceRoot,6,2,0.4,0.001653
$replaceRoot,7,2,0.4,0.001653
$replaceRoot,9,1,0.2,0.000826
$set,1,1,0.333333,0.000826
$set,4,1,0.333333,0.000826
$set,8,1,0.333333,0.000826
$sort,1,1,0.000826,0.000826
$sort,2,7,0.005785,0.005785
$sort,3,53,0.043802,0.043802
$sort,4,148,0.122314,0.122314
$sort,5,240,0.198347,0.198347
$sort,6,339,0.280165,0.280165
$sort,7,261,0.215702,0.215702
$sort,8,135,0.11157,0.11157
$sort,9,13,0.010744,0.010744
$sort,10,7,0.005785,0.005785
$sort,11,6,0.004959,0.004959
$unset,9,1,1.0,0.000826
$unwind,1,120,0.102652,0.099174
$unwind,2,270,0.230967,0.22314
$unwind,3,597,0.510693,0.493388
$unwind,4,142,0.121471,0.117355
$unwind,5,26,0.022241,0.021488
$unwind,6,10,0.008554,0.008264
$unwind,7,3,0.002566,0.002479
$unwind,8,1,0.000855,0.000826
