repeated_stage_combination,records,share
$project,533,0.440496
none,204,0.168595
$project+$unwind,143,0.118182
$addFields,116,0.095868
$match+$project+$unwind,83,0.068595
$addFields+$project,63,0.052066
$match+$project,28,0.02314
$addFields+$match+$project+$unwind,7,0.005785
$match,7,0.005785
$addFields+$project+$unwind,6,0.004959
$addFields+$unwind,5,0.004132
$addFields+$match+$unwind,4,0.003306
$unwind,3,0.002479
$addFields+$match,2,0.001653
$addFields+$match+$project,1,0.000826
$project+$sort,1,0.000826
$group+$project,1,0.000826
$addFields+$sort+$unwind,1,0.000826
$match+$unwind,1,0.000826
$addFields+$project+$sort,1,0.000826
