stage_sequence,count,share,stage_count,unique_stage_count,structural_bucket,has_unwind,has_group,has_unwind_and_group
$addFields>$project>$unwind>$match>$project>$sort>$limit,204,0.168595,7,6,unwind_filter_project,True,False,False
$addFields>$project>$match>$project>$sort>$limit,204,0.168595,6,5,enrich_filter_project,False,False,False
$addFields>$project>$unwind>$match>$group>$project>$sort>$limit,131,0.108264,8,7,unwind_grouped,True,True,True
$addFields>$project>$unwind>$match>$group>$sort>$limit,104,0.08595,7,7,unwind_grouped,True,True,True
$addFields>$project>$unwind>$match>$group>$match>$sort>$limit,85,0.070248,8,7,unwind_grouped,True,True,True
$addFields>$project>$unwind>$group>$sort>$limit,84,0.069421,6,6,unwind_grouped,True,True,True
$addFields>$addFields>$match>$project>$sort>$limit,60,0.049587,6,5,linear_filter_project,False,False,False
$unwind>$addFields>$project>$match>$project>$sort>$limit,24,0.019835,7,6,unwind_filter_project,True,False,False
$addFields>$match>$project>$sort>$limit,21,0.017355,5,5,linear_filter_project,False,False,False
$unwind>$addFields>$project>$unwind>$match>$group>$project>$sort>$limit,16,0.013223,9,7,multi_unwind_grouped,True,True,True
$project>$unwind>$addFields>$match>$project>$sort>$limit,15,0.012397,7,6,unwind_filter_project,True,False,False
$unwind>$project>$unwind>$match>$group>$project>$sort>$limit,14,0.01157,8,6,multi_unwind_grouped,True,True,True
$unwind>$addFields>$project>$unwind>$match>$project>$sort>$limit,14,0.01157,8,6,unwind_filter_project,True,False,False
$project>$unwind>$match>$group>$project>$sort>$limit,13,0.010744,7,6,unwind_grouped,True,True,True
$project>$unwind>$unwind>$group>$match>$project>$sort>$limit,13,0.010744,8,6,multi_unwind_grouped,True,True,True
$project>$unwind>$group>$project>$sort>$limit,12,0.009917,6,5,unwind_grouped,True,True,True
$project>$unwind>$unwind>$match>$group>$project>$sort>$limit,12,0.009917,8,6,multi_unwind_grouped,True,True,True
$project>$unwind>$unwind>$group>$addFields>$match>$project>$sort>$limit,11,0.009091,9,7,multi_unwind_grouped,True,True,True
$unwind>$addFields>$project>$unwind>$match>$group>$sort>$limit,10,0.008264,8,7,multi_unwind_grouped,True,True,True
$unwind>$project>$group>$project>$sort>$limit,7,0.005785,6,5,unwind_grouped,True,True,True
$project>$unwind>$unwind>$addFields>$match>$group>$project>$sort>$limit,7,0.005785,9,7,multi_unwind_grouped,True,True,True
$project>$unwind>$unwind>$project>$match>$sort>$limit,7,0.005785,7,5,unwind_filter_project,True,False,False
$unwind>$project>$match>$group>$project>$sort>$limit,7,0.005785,7,6,unwind_grouped,True,True,True
$project>$unwind>$unwind>$project>$match>$group>$project>$sort>$limit,7,0.005785,9,6,multi_unwind_grouped,True,True,True
$unwind>$project>$unwind>$unwind>$match>$group>$project>$sort>$limit,7,0.005785,9,6,multi_unwind_grouped,True,True,True
$project>$unwind>$group>$match>$project>$sort>$limit,7,0.005785,7,6,unwind_grouped,True,True,True
$project>$unwind>$match>$project>$sort>$limit,7,0.005785,6,5,unwind_filter_project,True,False,False
$match>$project>$unwind>$unwind>$group>$match>$project>$sort>$limit,6,0.004959,9,6,multi_unwind_grouped,True,True,True
$unwind>$addFields>$match>$project>$sort>$limit,6,0.004959,6,6,unwind_filter_project,True,False,False
$project>$addFields>$addFields>$addFields>$match>$project>$sort>$limit,6,0.004959,8,5,enrich_filter_project,False,False,False
$project>$unwind>$project>$unwind>$addFields>$match>$group>$addFields>$match>$project>$sort>$limit,6,0.004959,12,7,multi_unwind_grouped,True,True,True
$addFields>$project>$match>$sort>$limit,6,0.004959,5,5,linear_filter_project,False,False,False
$unwind>$project>$unwind>$match>$group>$match>$project>$sort>$limit,5,0.004132,9,6,multi_unwind_grouped,True,True,True
$unwind>$project>$addFields>$match>$project>$sort>$limit,5,0.004132,7,6,unwind_filter_project,True,False,False
$project>$addFields>$match>$project>$sort>$limit,5,0.004132,6,5,enrich_filter_project,False,False,False
$project>$unwind>$match>$unwind>$unwind>$match>$project>$sort>$limit,5,0.004132,9,5,unwind_filter_project,True,False,False
$project>$unwind>$unwind>$match>$group>$match>$project>$sort>$limit,5,0.004132,9,6,multi_unwind_grouped,True,True,True
$unwind>$match>$project>$unwind>$match>$project>$sort>$limit,5,0.004132,8,5,unwind_filter_project,True,False,False
$unwind>$project>$match>$unwind>$project>$sort>$limit,5,0.004132,7,5,unwind_filter_project,True,False,False
$addFields>$addFields>$match>$group>$sort>$limit,5,0.004132,6,5,group_without_unwind,False,True,False
$unwind>$addFields>$project>$unwind>$group>$sort>$limit,5,0.004132,7,6,multi_unwind_grouped,True,True,True
$project>$unwind>$match>$unwind>$addFields>$match>$project>$sort>$limit,5,0.004132,9,6,unwind_filter_project,True,False,False
$project>$unwind>$unwind>$match>$project>$sort>$limit,5,0.004132,7,5,unwind_filter_project,True,False,False
