from_stage,to_stage,count,share_of_all_internal_transitions
$sort,$limit,1157,0.154061
$project,$sort,841,0.111984
$project,$unwind,773,0.102929
$unwind,$match,631,0.084021
$addFields,$project,623,0.082956
$match,$project,505,0.067244
$match,$group,384,0.051132
$limit,$project,322,0.042876
$group,$project,319,0.042477
$addFields,$match,290,0.038615
$match,$sort,203,0.027031
$unwind,$group,151,0.020107
$group,$sort,151,0.020107
$addFields,$addFields,150,0.019973
$unwind,$addFields,145,0.019308
$unwind,$unwind,145,0.019308
$project,$match,116,0.015446
$group,$match,108,0.014381
$addFields,$unwind,101,0.013449
$unwind,$project,97,0.012916
$match,$addFields,48,0.006391
$addFields,$group,46,0.006125
$sort,$project,35,0.00466
$project,$addFields,31,0.004128
$project,$limit,31,0.004128
$match,$unwind,29,0.003862
$group,$addFields,21,0.002796
$project,$group,17,0.002264
$addFields,$sort,13,0.001731
$project,$project,6,0.000799
$limit,$addFields,4,0.000533
$limit,$replaceRoot,3,0.000399
$group,$replaceRoot,2,0.000266
$limit,$set,1,0.000133
$set,$unset,1,0.000133
$unset,$project,1,0.000133
$set,$unwind,1,0.000133
$match,$limit,1,0.000133
$replaceRoot,$sort,1,0.000133
$group,$group,1,0.000133
$match,$set,1,0.000133
$set,$project,1,0.000133
$replaceRoot,$match,1,0.000133
$sort,$group,1,0.000133
$match,$match,1,0.000133
