field,value,count,share
schema_flex,dynamic_key,1013,0.83719
schema_flex,nested_event_stream,130,0.107438
schema_flex,polymorphic,36,0.029752
schema_flex,missing_vs_present,18,0.014876
schema_flex,attribute_bag,13,0.010744
shape_policy,preserve,972,0.803306
shape_policy,reduce,144,0.119008
shape_policy,reshape,94,0.077686
native_feature_type,dynamic_key_object,1097,0.906612
native_feature_type,nested_event_stream,70,0.057851
native_feature_type,polymorphic_collection,31,0.02562
native_feature_type,missing_vs_present,12,0.009917
anti_sql_transfer_level,strong,1138,0.940496
anti_sql_transfer_level,medium,71,0.058678
anti_sql_transfer_level,weak,1,0.000826
difficulty,L4,1210,1.0
sql_infeasibility_class,structural_schema_flex,1210,1.0
