db_id,collection,structural_bucket,records
california_schools,county_equity_assessment_panels,enrich_filter_project,8
california_schools,county_equity_assessment_panels,multi_unwind_grouped,5
california_schools,county_equity_assessment_panels,unwind_filter_project,4
california_schools,county_equity_assessment_panels,unwind_grouped,16
california_schools,district_rollups,enrich_filter_project,10
california_schools,district_rollups,multi_unwind_grouped,5
california_schools,district_rollups,unwind_filter_project,9
california_schools,district_rollups,unwind_grouped,16
california_schools,school_profiles,enrich_filter_project,8
california_schools,school_profiles,unwind_filter_project,14
california_schools,school_profiles,unwind_grouped,15
card_games,card_print_dossiers,enrich_filter_project,21
card_games,card_print_dossiers,group_without_unwind,2
card_games,card_print_dossiers,linear_filter_project,2
card_games,card_print_dossiers,multi_unwind_grouped,7
card_games,card_print_dossiers,unwind_filter_project,16
card_games,card_print_dossiers,unwind_grouped,35
card_games,set_release_ecosystems,enrich_filter_project,6
card_games,set_release_ecosystems,unwind_filter_project,3
card_games,set_release_ecosystems,unwind_grouped,18
codebase_community,community_threads,enrich_filter_project,10
codebase_community,community_threads,multi_unwind_grouped,14
codebase_community,community_threads,unwind_filter_project,9
codebase_community,community_threads,unwind_grouped,16
codebase_community,tag_topic_ecosystems,enrich_filter_project,2
codebase_community,tag_topic_ecosystems,multi_unwind_grouped,6
codebase_community,tag_topic_ecosystems,unwind_filter_project,6
codebase_community,tag_topic_ecosystems,unwind_grouped,13
codebase_community,user_reputation_profiles,enrich_filter_project,10
codebase_community,user_reputation_profiles,unwind_filter_project,11
codebase_community,user_reputation_profiles,unwind_grouped,13
debit_card_specializing,fuel_customer_spend_profiles,enrich_filter_project,5
debit_card_specializing,fuel_customer_spend_profiles,unwind_filter_project,6
debit_card_specializing,fuel_customer_spend_profiles,unwind_grouped,30
debit_card_specializing,fuel_product_payment_timeline,enrich_filter_project,8
debit_card_specializing,fuel_product_payment_timeline,unwind_filter_project,9
debit_card_specializing,fuel_product_payment_timeline,unwind_grouped,16
debit_card_specializing,fuel_station_market_catalog,enrich_filter_project,9
debit_card_specializing,fuel_station_market_catalog,multi_unwind_grouped,7
debit_card_specializing,fuel_station_market_catalog,unwind_filter_project,8
debit_card_specializing,fuel_station_market_catalog,unwind_grouped,12
european_football_2,league_season_buckets,enrich_filter_project,5
european_football_2,league_season_buckets,unwind_filter_project,7
european_football_2,league_season_buckets,unwind_grouped,9
european_football_2,match_documents,linear_filter_project,25
european_football_2,match_documents,multi_unwind_grouped,7
european_football_2,match_documents,unwind_grouped,7
european_football_2,player_profiles,enrich_filter_project,8
european_football_2,player_profiles,unwind_filter_project,6
european_football_2,player_profiles,unwind_grouped,13
european_football_2,team_profiles,enrich_filter_project,3
european_football_2,team_profiles,multi_unwind_grouped,6
european_football_2,team_profiles,unwind_filter_project,5
european_football_2,team_profiles,unwind_grouped,9
financial,account_ledgers,enrich_filter_project,8
financial,account_ledgers,multi_unwind_grouped,5
financial,account_ledgers,unwind_filter_project,10
financial,account_ledgers,unwind_grouped,24
financial,counterparty_flow_profiles,enrich_filter_project,4
financial,counterparty_flow_profiles,unwind_filter_project,5
financial,counterparty_flow_profiles,unwind_grouped,9
financial,district_market_contexts,enrich_filter_project,5
financial,district_market_contexts,unwind_filter_project,7
financial,district_market_contexts,unwind_grouped,12
financial,party_relationship_graphs,enrich_filter_project,9
financial,party_relationship_graphs,unwind_filter_project,2
financial,party_relationship_graphs,unwind_grouped,10
formula_1,f1_actor_profiles,group_without_unwind,4
formula_1,f1_actor_profiles,linear_filter_project,25
formula_1,f1_actor_profiles,unwind_grouped,7
formula_1,race_weekends_v2,enrich_filter_project,15
formula_1,race_weekends_v2,linear_filter_project,3
formula_1,race_weekends_v2,unwind_filter_project,22
formula_1,race_weekends_v2,unwind_grouped,34
student_club,club_event_plans_v2,enrich_filter_project,14
student_club,club_event_plans_v2,unwind_filter_project,21
student_club,club_event_plans_v2,unwind_grouped,24
student_club,club_member_accounts_v2,enrich_filter_project,8
student_club,club_member_accounts_v2,linear_filter_project,2
student_club,club_member_accounts_v2,multi_unwind_grouped,5
student_club,club_member_accounts_v2,unwind_filter_project,19
student_club,club_member_accounts_v2,unwind_grouped,17
superhero,ability_catalog,enrich_filter_project,8
superhero,ability_catalog,multi_unwind_grouped,6
superhero,ability_catalog,unwind_filter_project,7
superhero,ability_catalog,unwind_grouped,9
superhero,hero_dossiers,enrich_filter_project,4
superhero,hero_dossiers,group_without_unwind,2
superhero,hero_dossiers,linear_filter_project,2
superhero,hero_dossiers,multi_unwind_grouped,7
superhero,hero_dossiers,unwind_filter_project,8
superhero,hero_dossiers,unwind_grouped,15
superhero,publisher_universes,multi_unwind_grouped,17
superhero,publisher_universes,unwind_filter_project,25
thrombosis_prediction,diagnosis_risk_panels,enrich_filter_project,6
thrombosis_prediction,diagnosis_risk_panels,multi_unwind_grouped,6
thrombosis_prediction,diagnosis_risk_panels,unwind_filter_project,1
thrombosis_prediction,diagnosis_risk_panels,unwind_grouped,4
thrombosis_prediction,measurement_code_bags,enrich_filter_project,5
thrombosis_prediction,measurement_code_bags,unwind_filter_project,14
thrombosis_prediction,measurement_code_bags,unwind_grouped,14
thrombosis_prediction,patient_clinical_profiles,enrich_filter_project,3
thrombosis_prediction,patient_clinical_profiles,linear_filter_project,30
thrombosis_prediction,patient_clinical_profiles,multi_unwind_grouped,7
thrombosis_prediction,patient_clinical_profiles,unwind_filter_project,6
thrombosis_prediction,patient_clinical_profiles,unwind_grouped,14
toxicology,molecule_graphs,enrich_filter_project,14
toxicology,molecule_graphs,group_without_unwind,2
toxicology,molecule_graphs,linear_filter_project,2
toxicology,molecule_graphs,multi_unwind_grouped,24
toxicology,molecule_graphs,unwind_filter_project,48
toxicology,molecule_graphs,unwind_grouped,20
