stage,position_bucket,count,share_of_stage_occurrences
$addFields,early,187,0.164179
$addFields,first,910,0.798946
$addFields,middle,42,0.036874
$group,early,11,0.018487
$group,late,121,0.203361
$group,middle,463,0.778151
$limit,last,1209,1.0
$match,early,64,0.052373
$match,first,6,0.00491
$match,late,104,0.085106
$match,middle,1048,0.85761
$project,early,966,0.477981
$project,first,152,0.07521
$project,late,567,0.280554
$project,middle,336,0.166254
$sort,last,1,0.000828
$sort,late,1207,0.999172
$unwind,early,771,0.710599
$unwind,first,142,0.130876
$unwind,middle,172,0.158525
