db_id,stage,role,occurrence_count,record_presence_count,record_presence_share,mean_occurrences_per_record
california_schools,$addFields,enrichment,95,95,0.863636,0.863636
california_schools,$group,aggregation,57,57,0.518182,0.518182
california_schools,$limit,result_bound,110,110,1.0,1.0
california_schools,$match,filter,120,105,0.954545,1.090909
california_schools,$project,projection,197,110,1.0,1.790909
california_schools,$sort,ordering,110,110,1.0,1.0
california_schools,$unwind,array_traversal,104,84,0.763636,0.945455
card_games,$addFields,enrichment,112,96,0.872727,1.018182
card_games,$group,aggregation,62,62,0.563636,0.563636
card_games,$limit,result_bound,110,110,1.0,1.0
card_games,$match,filter,112,104,0.945455,1.018182
card_games,$project,projection,189,108,0.981818,1.718182
card_games,$sort,ordering,110,110,1.0,1.0
card_games,$unwind,array_traversal,86,79,0.718182,0.781818
codebase_community,$addFields,enrichment,102,96,0.872727,0.927273
codebase_community,$group,aggregation,62,62,0.563636,0.563636
codebase_community,$limit,result_bound,110,110,1.0,1.0
codebase_community,$match,filter,115,99,0.9,1.045455
codebase_community,$project,projection,195,110,1.0,1.772727
codebase_community,$sort,ordering,110,110,1.0,1.0
codebase_community,$unwind,array_traversal,115,88,0.8,1.045455
debit_card_specializing,$addFields,enrichment,91,90,0.818182,0.827273
debit_card_specializing,$group,aggregation,65,65,0.590909,0.590909
debit_card_specializing,$limit,result_bound,110,110,1.0,1.0
debit_card_specializing,$match,filter,110,99,0.9,1.0
debit_card_specializing,$project,projection,193,110,1.0,1.754545
debit_card_specializing,$sort,ordering,110,110,1.0,1.0
debit_card_specializing,$unwind,array_traversal,95,88,0.8,0.863636
european_football_2,$addFields,enrichment,121,96,0.872727,1.1
european_football_2,$group,aggregation,51,51,0.463636,0.463636
european_football_2,$limit,result_bound,110,110,1.0,1.0
european_football_2,$match,filter,110,102,0.927273,1.0
european_football_2,$project,projection,171,110,1.0,1.554545
european_football_2,$sort,ordering,110,110,1.0,1.0
european_football_2,$unwind,array_traversal,82,69,0.627273,0.745455
financial,$addFields,enrichment,100,100,0.909091,0.909091
financial,$group,aggregation,60,60,0.545455,0.545455
financial,$limit,result_bound,110,110,1.0,1.0
financial,$match,filter,105,96,0.872727,0.954545
financial,$project,projection,190,110,1.0,1.727273
financial,$sort,ordering,110,110,1.0,1.0
financial,$unwind,array_traversal,89,84,0.763636,0.809091
formula_1,$addFields,enrichment,94,94,0.854545,0.854545
formula_1,$group,aggregation,45,45,0.409091,0.409091
formula_1,$limit,result_bound,110,110,1.0,1.0
formula_1,$match,filter,92,85,0.772727,0.836364
formula_1,$project,projection,157,106,0.963636,1.427273
formula_1,$sort,ordering,108,108,0.981818,0.981818
formula_1,$unwind,array_traversal,63,63,0.572727,0.572727
student_club,$addFields,enrichment,99,99,0.9,0.9
student_club,$group,aggregation,46,46,0.418182,0.418182
student_club,$limit,result_bound,109,109,0.990909,0.990909
student_club,$match,filter,115,100,0.909091,1.045455
student_club,$project,projection,187,110,1.0,1.7
student_club,$sort,ordering,110,110,1.0,1.0
student_club,$unwind,array_traversal,96,86,0.781818,0.872727
superhero,$addFields,enrichment,101,97,0.881818,0.918182
superhero,$group,aggregation,56,56,0.509091,0.509091
superhero,$limit,result_bound,110,110,1.0,1.0
superhero,$match,filter,118,99,0.9,1.072727
superhero,$project,projection,183,108,0.981818,1.663636
superhero,$sort,ordering,110,110,1.0,1.0
superhero,$unwind,array_traversal,139,94,0.854545,1.263636
thrombosis_prediction,$addFields,enrichment,120,90,0.818182,1.090909
thrombosis_prediction,$group,aggregation,45,45,0.409091,0.409091
thrombosis_prediction,$limit,result_bound,110,110,1.0,1.0
thrombosis_prediction,$match,filter,110,102,0.927273,1.0
thrombosis_prediction,$project,projection,165,110,1.0,1.5
thrombosis_prediction,$sort,ordering,110,110,1.0,1.0
thrombosis_prediction,$unwind,array_traversal,79,66,0.6,0.718182
toxicology,$addFields,enrichment,104,100,0.909091,0.945455
toxicology,$group,aggregation,46,46,0.418182,0.418182
toxicology,$limit,result_bound,110,110,1.0,1.0
toxicology,$match,filter,115,102,0.927273,1.045455
toxicology,$project,projection,194,108,0.981818,1.763636
toxicology,$sort,ordering,110,110,1.0,1.0
toxicology,$unwind,array_traversal,137,92,0.836364,1.245455
