from_stage,to_stage,count,share_of_all_internal_transitions
$sort,$limit,1207,0.166048
$addFields,$project,892,0.122713
$project,$sort,888,0.122163
$project,$unwind,843,0.115972
$unwind,$match,662,0.091072
$match,$project,657,0.090384
$match,$group,441,0.060669
$project,$match,263,0.036181
$group,$project,238,0.032742
$group,$sort,214,0.02944
$addFields,$match,163,0.022424
$unwind,$group,143,0.019673
$group,$match,126,0.017334
$unwind,$addFields,113,0.015545
$match,$sort,106,0.014582
$unwind,$unwind,85,0.011693
$unwind,$project,82,0.011281
$addFields,$addFields,80,0.011006
$project,$addFields,19,0.002614
$group,$addFields,17,0.002339
$match,$unwind,15,0.002064
$project,$group,7,0.000963
$addFields,$group,4,0.00055
$match,$match,2,0.000275
$match,$limit,1,0.000138
$project,$limit,1,0.000138
